bar num, offset
985, 19:32:420
986, 19:33:979
987, 19:35:537
988, 19:37:096
989, 19:38:654
990, 19:40:213
991, 19:41:771
992, 19:43:330
993, 19:44:888
994, 19:46:446
995, 19:48:005
996, 19:49:563
997, 19:51:122
998, 19:52:680
999, 19:54:239
1000, 19:55:797
1001, 19:57:355
1002, 19:58:914
1003, 20:00:472
1004, 20:02:031
1005, 20:03:589
1006, 20:05:148
1007, 20:06:706
1008, 20:08:265
1009, 20:09:823
1010, 20:11:381
1011, 20:12:940
1012, 20:14:498
1013, 20:16:057
1014, 20:17:615
1015, 20:19:174
1016, 20:20:732
1017, 20:22:291
1018, 20:23:849
1019, 20:25:407
1020, 20:26:966
1021, 20:28:524
1022, 20:30:083
1023, 20:31:641
1024, 20:33:200
1025, 20:34:758
1026, 20:36:317
1027, 20:37:875
1028, 20:39:433
1029, 20:40:992
1030, 20:42:550
1031, 20:44:109
1032, 20:45:667
1033, 20:47:226
1034, 20:48:784
1035, 20:50:342
1036, 20:51:901
1037, 20:53:459
1038, 20:55:018
1039, 20:56:576
1040, 20:58:135
1041, 20:59:693
1042, 21:01:252
1043, 21:02:810
1044, 21:04:368
1045, 21:05:927
1046, 21:07:485
1047, 21:09:044
1048, 21:10:602
1049, 21:12:161
1050, 21:13:719
1051, 21:15:278
1052, 21:16:836
1053, 21:18:394
1054, 21:19:953
1055, 21:21:511
1056, 21:23:070
1057, 21:24:628
1058, 21:26:187
1059, 21:27:745
1060, 21:29:304
1061, 21:30:862
1062, 21:32:420
1063, 21:33:979
1064, 21:35:537
1065, 21:37:096
1066, 21:38:654
1067, 21:40:213
1068, 21:41:771
1069, 21:43:330
1070, 21:44:888
1071, 21:46:446
1072, 21:48:005
1073, 21:49:563
1074, 21:51:122
1075, 21:52:680
1076, 21:54:239
1077, 21:55:797
1078, 21:56:936
1079, 21:58:700
1080, 22:00:465
1081, 22:02:230
1082, 22:03:994
1083, 22:05:759
1084, 22:07:524
1085, 22:09:288
1086, 22:11:053
1087, 22:12:818
1088, 22:14:583
1089, 22:16:347
1090, 22:18:112
1091, 22:19:877
1092, 22:21:641
1093, 22:23:406
1094, 22:25:171
1095, 22:26:936
1096, 22:28:700
1097, 22:30:465
1098, 22:32:230
1099, 22:33:994
1100, 22:35:759
1101, 22:37:524
1102, 22:39:288
1103, 22:41:053
1104, 22:42:818
1105, 22:44:583
1106, 22:46:347
1107, 22:48:112
1108, 22:49:877
1109, 22:51:641
1110, 22:53:406
1111, 22:55:171
1112, 22:56:936
1113, 22:58:700
1114, 23:00:465
1115, 23:02:230
1116, 23:03:994
1117, 23:05:759
1118, 23:07:524
1119, 23:09:288
1120, 23:11:053
1121, 23:12:818
1122, 23:14:583
1123, 23:16:347
1124, 23:18:112
1125, 23:19:877
1126, 23:21:641
1127, 23:23:406
1128, 23:25:171
1129, 23:26:936
1130, 23:28:700
1131, 23:30:465
1132, 23:32:230
1133, 23:33:994
1134, 23:35:759
1135, 23:37:524
1136, 23:39:288
1137, 23:41:053
1138, 23:42:818
1139, 23:44:583
1140, 23:46:347
1141, 23:48:112
1142, 23:49:877
1143, 23:51:641
1144, 23:53:406
1145, 23:55:171
1146, 23:56:936
1147, 23:58:700
1148, 24:00:465
1149, 24:02:230
1150, 24:03:994
1151, 24:05:759
1152, 24:07:524
1153, 24:09:288
1154, 24:11:053
1155, 24:12:818
1156, 24:14:583
1157, 24:16:347
1158, 24:18:112
1159, 24:19:877
1160, 24:21:641
1161, 24:23:406
1162, 24:25:171
1163, 24:26:936
1164, 24:28:700
1165, 24:30:465
1166, 24:32:230
1167, 24:33:994
1168, 24:35:759
1169, 24:37:524
1170, 24:39:288
1171, 24:41:053
1172, 24:42:818
1173, 24:44:583
1174, 24:46:347
1175, 24:48:112
1176, 24:49:877
1177, 24:51:641
1178, 24:53:406
1179, 24:55:171
1180, 24:56:936
1181, 24:58:700
1182, 25:00:465
1183, 25:02:230
1184, 25:03:994
1185, 25:05:759
1186, 25:07:524
1187, 25:09:288
1188, 25:11:053
1189, 25:12:818
1190, 25:14:583
1191, 25:16:347
1192, 25:18:112
1193, 25:19:877
1194, 25:21:641
1195, 25:23:406
1196, 25:25:171
1197, 25:26:936
1198, 25:28:700
1199, 25:30:465
1200, 25:32:230
1201, 25:33:994
1202, 25:35:759
1203, 25:37:524
1204, 25:39:288
1205, 25:41:053
1206, 25:42:818
1207, 25:44:583
1208, 25:46:347
1209, 25:48:112
1210, 25:49:877
1211, 25:51:641
1212, 25:53:406
1213, 25:55:171
1214, 25:56:936
1215, 25:58:700
1216, 26:00:465
1217, 26:02:230
1218, 26:03:994
1219, 26:05:759
1220, 26:07:524
1221, 26:09:288
1222, 26:11:053
1223, 26:12:818
1224, 26:14:583
1225, 26:16:347
1226, 26:18:112
1227, 26:19:877
1228, 26:21:641
1229, 26:23:406
1230, 26:25:171
1231, 26:26:936
1232, 26:28:700
1233, 26:30:465
1234, 26:32:230
1235, 26:33:994
1236, 26:35:759
1237, 26:37:524
1238, 26:39:288
1239, 26:41:053
1240, 26:42:818
1241, 26:44:583
1242, 26:46:167
1243, 26:53:667
1244, 27:01:167
1245, 27:06:792
1246, 27:08:667
1247, 27:10:542
1248, 27:12:417
1249, 27:14:292
1250, 27:16:167
1251, 27:18:042
1252, 27:19:917
1253, 27:21:792
1254, 27:23:667
1255, 27:25:542
1256, 27:27:417
1257, 27:29:292
1258, 27:31:167
1259, 27:33:042
1260, 27:34:917
1261, 27:36:792
1262, 27:38:667
1263, 27:40:542
1264, 27:42:417
1265, 27:44:292
1266, 27:46:167
1267, 27:48:042
1268, 27:49:917
1269, 27:51:792
1270, 27:53:667
1271, 27:55:542
1272, 27:57:417
1273, 27:59:292
1274, 28:01:167
1275, 28:03:042
1276, 28:04:917
1277, 28:06:792
1278, 28:08:667
1279, 28:10:542
1280, 28:12:417
1281, 28:14:292
1282, 28:16:167
1283, 28:18:042
1284, 28:19:917
1285, 28:21:792
1286, 28:23:667
1287, 28:25:542
1288, 28:27:417
1289, 28:29:292
1290, 28:31:167
1291, 28:33:042
1292, 28:34:917
1293, 28:36:792
1294, 28:38:667
1295, 28:40:542
1296, 28:42:417
1297, 28:44:292
1298, 28:46:167
1299, 28:48:042
1300, 28:49:917
1301, 28:51:792
1302, 28:53:667
1303, 28:55:542
1304, 28:57:417
1305, 28:59:292
1306, 29:01:167
1307, 29:03:042
1308, 29:04:917
1309, 29:06:792
1310, 29:08:667
1311, 29:10:542
1312, 29:12:417
1313, 29:14:292
1314, 29:16:167
1315, 29:18:042
1316, 29:19:917
1317, 29:21:792
1318, 29:23:667
1319, 29:25:542
1320, 29:27:417
1321, 29:29:292
1322, 29:31:167
1323, 29:33:042
1324, 29:34:917
1325, 29:36:792
1326, 29:38:667
1327, 29:40:542
1328, 29:42:417
1329, 29:44:292
1330, 29:46:167
1331, 29:48:042
1332, 29:49:917
1333, 29:51:792
1334, 29:53:667
1335, 29:55:542
1336, 29:57:417
1337, 29:59:292
1338, 30:01:167
1339, 30:03:042
1340, 30:04:917
1341, 30:06:792
1342, 30:08:667
1343, 30:10:542
1344, 30:12:417
1345, 30:14:292
1346, 30:16:167
1347, 30:18:042
1348, 30:19:917
1349, 30:21:792
1350, 30:23:667
1351, 30:25:542
1352, 30:27:417
1353, 30:29:292
1354, 30:31:167
1355, 30:33:042
1356, 30:34:917
1357, 30:36:792
1358, 30:38:667
1359, 30:40:542
1360, 30:42:417
1361, 30:43:545
1362, 30:44:745
1363, 30:45:945
1364, 30:47:145
1365, 30:48:345
1366, 30:49:545
1367, 30:50:745
1368, 30:51:945
1369, 30:53:145
1370, 30:54:345
1371, 30:55:545
1372, 30:56:745
1373, 30:57:945
1374, 30:59:145
1375, 31:00:345
1376, 31:01:545
1377, 31:02:745
1378, 31:03:945
1379, 31:05:145
1380, 31:06:345
1381, 31:07:545
1382, 31:08:745
1383, 31:09:945
1384, 31:11:145
1385, 31:12:345
1386, 31:13:545
1387, 31:14:745
1388, 31:15:945
1389, 31:17:145
1390, 31:18:345
1391, 31:19:545
1392, 31:20:745
1393, 31:21:945
1394, 31:23:145
1395, 31:24:345
1396, 31:25:545
1397, 31:26:745
1398, 31:27:945
1399, 31:29:145
1400, 31:30:345
1401, 31:31:545
1402, 31:32:745
1403, 31:33:945
1404, 31:35:145
1405, 31:36:345
1406, 31:37:545
1407, 31:38:745
1408, 31:39:945
1409, 31:41:145
1410, 31:42:345
1411, 31:43:545
1412, 31:44:745
1413, 31:45:945
1414, 31:47:145
1415, 31:48:345
1416, 31:49:545
1417, 31:50:745
1418, 31:51:945
1419, 31:53:145
1420, 31:54:345
1421, 31:55:545
1422, 31:56:745
1423, 31:57:945
1424, 31:59:145
1425, 32:00:345
1426, 32:01:545
1427, 32:02:745
1428, 32:03:945
1429, 32:05:145
1430, 32:06:345
1431, 32:07:545
1432, 32:08:745
1433, 32:09:945
1434, 32:11:145
1435, 32:12:345
1436, 32:13:545
1437, 32:14:745
1438, 32:15:945
1439, 32:17:145
1440, 32:18:345
1441, 32:19:545
1442, 32:20:745
1443, 32:21:945
1444, 32:23:145
1445, 32:24:345
1446, 32:25:545
1447, 32:26:745
1448, 32:27:945
1449, 32:29:145
1450, 32:30:345
1451, 32:31:545
1452, 32:32:745
1453, 32:33:945
1454, 32:35:145
1455, 32:36:345
1456, 32:37:545
1457, 32:38:745
1458, 32:39:945
1459, 32:41:145
1460, 32:42:345
1461, 32:43:545
1462, 32:44:745
1463, 32:45:945
1464, 32:47:145
1465, 32:48:345
1466, 32:49:545
1467, 32:50:745
1468, 32:51:945
1469, 32:53:145
1470, 32:54:345
1471, 32:55:545
1472, 32:56:745
1473, 32:57:945
1474, 32:59:145
1475, 33:00:345
1476, 33:01:545
1477, 33:02:745
1478, 33:03:945
1479, 33:05:145
1480, 33:06:345
1481, 33:07:545
1482, 33:08:745
1483, 33:09:945
1484, 33:11:145
1485, 33:12:345
1486, 33:13:545
1487, 33:14:745
1488, 33:15:945
1489, 33:17:145
1490, 33:18:345
1491, 33:19:545
1492, 33:20:745
1493, 33:21:945
1494, 33:23:145
1495, 33:24:345
1496, 33:25:545
1497, 33:26:745
